,Unnamed: 0.1,Unnamed: 0,giga_id_school,lat,lon,school_locations,modis.LC_Type1.mode,modis.LC_Type1.var,modis.LC_Type1.evg_conif,modis.LC_Type1.evg_broad,modis.LC_Type1.dcd_needle,modis.LC_Type1.dcd_broad,modis.LC_Type1.mix_forest,modis.LC_Type1.cls_shrub,modis.LC_Type1.open_shrub,modis.LC_Type1.woody_savanna,modis.LC_Type1.savanna,modis.LC_Type1.grassland,modis.LC_Type1.perm_wetland,modis.LC_Type1.cropland,modis.LC_Type1.crop_nat_veg,modis.LC_Type1.perm_snow,modis.LC_Type1.barren,modis.LC_Type1.water_bds,pop.population_density.var,pop.population_density.max,pop.population_density.min,human_settlement_layer_built_up.built_characteristics.mode,human_settlement_layer_built_up.built_characteristics.open_low_veg,human_settlement_layer_built_up.built_characteristics.open_med_veg,human_settlement_layer_built_up.built_characteristics.open_high_veg,human_settlement_layer_built_up.built_characteristics.open_water,human_settlement_layer_built_up.built_characteristics.open_road,human_settlement_layer_built_up.built_characteristics.built_non_res_3,human_settlement_layer_built_up.built_characteristics.built_non_res_3-6,human_settlement_layer_built_up.built_characteristics.built_non_res_6-15,human_settlement_layer_built_up.built_characteristics.built_non_res_15-30,human_settlement_layer_built_up.built_characteristics.build_non_res_30,human_settlement_layer_built_up.built_characteristics.built,global_human_modification.gHM.var,global_human_modification.gHM.max,global_human_modification.gHM.min,transmission_line_distance,nightlight.avg_rad.min,nightlight.cf_cvg.var,nightlight.cf_cvg.max,nightlight.cf_cvg.min,avg_d_kbps_mobile,avg_u_kbps_mobile,avg_lat_ms_mobile,tests_mobile,devices_mobile,ookla_distance_mobile,avg_d_kbps_fixed,avg_u_kbps_fixed,avg_lat_ms_fixed,tests_fixed,devices_fixed,ookla_distance_fixed,connectivity
0,15,15,942bb2ef-bd16-46f9-9c93-f3b19d7dfa3a,-2.7425,29.69777778,"(29.69777778, -2.7425)",12.0,0.4736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.88,0.08,0.0,0.0,0.0,56.57237121793959,629.4349365234375,605.4901733398438,11.0,0.0003405994550408,0.1297683923705722,0.3448569482288828,0.0,0.0590940054495912,0.4659400544959128,0.0,0.0,0.0,0.0,0.5340599455040872,0.0096727561422855,0.7365300059318542,0.4527483880519867,3412.6502076736774,0.1191666663313905,0.2801851851851851,4.083333333333333,2.583333333333333,2917.0,1915.0,224.0,1.0,1.0,12786.895574689912,3129.0,3464.0,14.0,2.0,1.0,13154.83366612028,1
1,301,301,db01c144-7548-45ab-b5d1-a5a5620c3ad0,-2.619805556,29.87825,"(29.87825, -2.619805556)",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,430.41479092008535,550.1577758789062,488.5566101074219,3.0,0.0,0.1346153846153846,0.4396681749622926,0.0,0.0,0.4257164404223227,0.0,0.0,0.0,0.0,0.5742835595776772,0.0101098939429402,0.6850904226303101,0.4239504337310791,2449.002208170481,0.146666665871938,0.2466666666666666,4.416666666666667,3.333333333333333,45858.0,56454.0,15.0,1.0,1.0,13568.00128189604,4030.0,4507.0,19.0,2.0,1.0,6468.603158484514,1
2,3235,3235,105d5826-446e-435a-a3ce-1860010b0a29,-2.18894,29.29689,"(29.29689, -2.18894)",13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610784.961391343,7751.04541015625,4131.22216796875,13.0,0.2067918357812363,0.1683359126346833,0.0844453528776243,0.0,0.0790434198615937,0.0011095862411306,0.0021315735684877,0.4581423190352439,0.0,0.0,0.5386165211551377,0.0008066971148622,0.9088578820228576,0.8317238092422485,813.3483280600049,11.242500066757202,0.2205333333333333,4.833333333333333,3.6666666666666665,11075.0,2803.0,30.0,11.0,1.0,12783.282331849554,13454.0,13814.0,32.0,17.0,1.0,13228.67859700492,0
3,1198,1198,d61a13a6-3c6a-4209-9e71-a40f965d0252,-2.37225,30.63075,"(30.63075, -2.37225)",9.0,0.1788888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666666666666667,0.2333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.287147821329626,366.5997009277344,363.0890502929688,11.0,0.0112640801001251,0.1544788128017164,0.3983550867155372,0.0,0.0,0.4359020203826211,0.0,0.0,0.0,0.0,0.5640979796173788,1.941206608514613e-05,0.3560967743396759,0.3415595293045044,9096.532723441223,0.1850000048677126,0.2730555555555555,5.333333333333333,4.333333333333333,27698.0,6178.0,23.0,1.0,1.0,12251.386843383863,12886.0,12755.0,22.0,2.0,1.0,12251.386843383863,1
4,1128,1128,4fc261c3-404a-42e3-aa80-82aa8a6f6334,-2.2534400000000003,30.80428,"(30.80428, -2.2534400000000003)",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.23718738261566,567.9869384765625,548.4797973632812,11.0,0.0005003335557038,0.1666110740493662,0.3742494996664443,0.0,0.0463642428285523,0.4064376250833889,0.0058372248165443,0.0,0.0,0.0,0.5877251501000668,0.0111070448513902,0.7149536609649658,0.396383672952652,5883.441606767678,0.1833333338921268,0.2773333333333333,5.5,4.0,27698.0,6178.0,23.0,1.0,1.0,13398.540296179295,12886.0,12755.0,22.0,2.0,1.0,13398.540296179295,1
5,2894,2894,1bcfeda5-62fd-46f0-9294-1f17631dd866,-2.02713,30.4484,"(30.4484, -2.02713)",14.0,3.312222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333,0.3,0.0,0.2,0.4666666666666667,0.0,0.0,0.0,6.402842700481415e-10,344.5960998535156,344.59600830078125,11.0,0.0108278817956237,0.1242950597789307,0.3013760433115272,0.0,0.0577487029099932,0.3173922851342206,0.1824949244304083,0.0,0.0,0.0,0.4942476877960749,0.0007538544765985,0.7526909112930298,0.6581812500953674,2365.9741593643034,0.1341666697214047,0.3485185185185185,4.25,2.9166666666666665,5694.0,756.0,38.0,1.0,1.0,2993.416357625043,108181.0,9193.0,375.0,1.0,1.0,6725.57592687207,1
6,2848,2848,7bba6533-e9d3-457f-ab89-fbf2ad427987,-1.4285,29.59722,"(29.59722, -1.4285)",10.0,0.3418209876543209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277777777777777,0.6111111111111112,0.3333333333333333,0.0277777777777777,0.0,0.0,0.0,0.0,9.054525030983816e-10,579.1907348632812,579.190673828125,11.0,0.0028918449971081,0.2634470792365529,0.2858588779641411,0.0,0.0,0.4478021978021978,0.0,0.0,0.0,0.0,0.5521978021978022,0.0124399485818955,0.6598260998725891,0.3292074203491211,2147.116403718087,0.1691666673868894,0.3624,5.5,4.083333333333333,5858.0,400.0,16.0,3.0,2.0,3674.769449944608,85218.0,46633.0,4.0,1.0,1.0,5.792092255782336,1
7,2669,2669,5062dda9-fc42-43ed-85bc-255a9afada39,-1.97697,29.80836,"(29.80836, -1.97697)",14.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.88,0.0,0.0,0.0,40479.90224177289,865.09814453125,341.3491516113281,3.0,0.0,0.0139708165166097,0.5377212045948463,0.0,0.0,0.4483079788885439,0.0,0.0,0.0,0.0,0.5516920211114561,4.521769882341135e-05,0.3655074834823608,0.3470091521739959,7388.60264712725,0.1224999983484546,0.3396296296296295,3.4166666666666665,2.083333333333333,30914.0,8453.0,28.0,1.0,1.0,7671.814119908243,17619.0,22219.0,14.0,1.0,1.0,11951.474487498434,1
8,1318,1318,e5053411-8bb1-4994-a645-5dabeb2d280b,-1.225916667,30.41583333,"(30.41583333, -1.225916667)",10.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.2,0.1,0.0,0.0,0.0,9.198247650523243e-10,559.2576904296875,559.2576293945312,3.0,0.061144616963942,0.218272808931092,0.2443859874246118,0.0,0.0257282176312074,0.1467984088284357,0.240408058514051,0.0632619017066598,0.0,0.0,0.5495316309508533,0.0038577630808171,0.5386894941329956,0.336860328912735,190.34137461330744,0.2449999966969092,0.4024,5.416666666666667,3.8333333333333335,27763.0,7864.0,19.0,1.0,1.0,11690.948419406022,5985.0,1245.0,26.0,2.0,1.0,12549.99617120112,1
9,945,945,3daef606-04d8-4b22-baed-f85afcf1361a,-1.364835,30.151958,"(30.151958, -1.364835)",12.0,1.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.68,0.28,0.0,0.0,0.0,0.0663937636547618,640.5771484375,639.7572021484375,11.0,0.0,0.1171139769954688,0.3597072150575113,0.0,0.0338096897873823,0.4893691181596375,0.0,0.0,0.0,0.0,0.5106308818403625,0.0037227163597543,0.5326486229896545,0.3629954755306244,646.7975793259365,0.1691666655242443,0.6589506172839505,5.5,3.333333333333333,6981.0,14525.0,20.0,4.0,1.0,16221.39730519446,41675.0,9269.0,300.0,1.0,1.0,5021.013452866814,0
10,1099,1099,d3c0ab2d-b46c-4ac1-bcab-06a1f728a9d9,-1.467194444,30.23983333,"(30.23983333, -1.467194444)",12.0,0.5155555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.8666666666666667,0.033333333,0.0,0.0,0.0,1.44872400495741e-09,550.3353881835938,550.3352661132812,11.0,0.0,0.0501176470588235,0.3637647058823529,0.0,0.0877647058823529,0.4983529411764706,0.0,0.0,0.0,0.0,0.5016470588235294,0.0004687320588667,0.4205437004566192,0.3466761112213135,102.8036763915441,0.1891666652324299,0.4907407407407407,5.833333333333333,3.9166666666666665,26765.0,5067.0,29.0,1.0,1.0,18024.922666662955,41675.0,9269.0,300.0,1.0,1.0,14528.312233601237,1
11,2906,2906,531cc619-b710-45d4-a883-7764977a53d6,-2.1107400000000003,29.93893,"(29.93893, -2.1107400000000003)",9.0,4.857600000000001,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.12,0.0,0.0,0.0,2186.6620257595027,476.4255065917969,372.1700134277344,11.0,0.0,0.0793388429752066,0.4479338842975207,0.0031221303948576,0.0115702479338842,0.4580348943985308,0.0,0.0,0.0,0.0,0.5419651056014693,0.0124518052925921,0.7345672249794006,0.4356417655944824,36.0158552559733,0.1183333322405815,0.2784,4.333333333333333,2.6666666666666665,7329.0,4147.0,23.0,3.0,1.0,7307.613184045405,2992.0,347.0,30.0,1.0,1.0,13320.907716413494,1
